Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public
Minneapolis-Saint Paul International Airport,US,"Delta, Sun Country, Endeavor, SkyWest, Flexjet",KMSP,"Minneapolis-St Paul, MN",Minneapolis-St Paul  ,MN,,,44.882,-93.2218,,,"Legacy, Major, Regional, Corporate",Fixed-Wing,,,
Glacier Park International Airport,US,Empire,KGPI,"LaSalle, MT",LaSalle,MT,,,48.3105,-114.256,,,Cargo,Fixed-Wing,,,
Idaho Falls Regional Airport,US,Empire,KIDA,"Idaho Falls, ID",Idaho Falls,ID,,,43.5146,-112.071,,,Cargo,Fixed-Wing,,,
Midland International Airport,US,Empire,KMAF,"Midland, TX",Midland,TX,,,31.9425,-102.202,,,Cargo,Fixed-Wing,,,
Missoula International Airport,US,Empire,KMSO,"Missoula, MT",Missoula,MT,,,46.9163,-114.091,,,Cargo,Fixed-Wing,,,
Rapid City Regional Airport,US,Empire,KRAP,"Rapid City, SD",Rapid City,SD,,,44.0453,-103.057,,,Cargo,Fixed-Wing,,,
Santa Barbara Municipal Airport,US,Empire,KSBA,"Santa Barbara, CA",Santa Barbara,CA,,,34.4262,-119.84,,,Cargo,Fixed-Wing,,,
Shreveport Regional Airport,US,Empire,KSHV,"Shreveport, LA",Shreveport,LA,,,32.4466,-93.8256,,,Cargo,Fixed-Wing,,,
Tulsa International Airport,US,"Empire, Flexjet",KTUL,"Tulsa, OK",Tulsa,OK,,,36.1984,-95.8881,,,"Cargo, Corporate",Fixed-Wing,,,
Wichita Eisenhower National Airport,US,"Empire, Med-Trans",KICT,"Wichita, KS",Wichita,KS,,,37.6499,-97.4331,,,"Cargo, EMS",Fixed-Wing,,,
Lubbock Preston Smith International Airport,US,"Empire, Med-Trans",KLBB,"Lubbock, TX",Lubbock,TX,,,33.6636,-101.823,,,"Cargo, EMS","Fixed-Wing, Rotor",,,
Laredo International Airport,US,Everts,KLRD,"Laredo, TX",Laredo,TX,,,27.5438,-99.4616,,,Cargo,Fixed-Wing,,,
Smyrna Airport,US,Everts,KMQY,"Smyrna, TN",Smyrna,TN,,,36.009,-86.5201,,,Cargo,Fixed-Wing,,,
"Fairbanks, AK",US,Everts,PAFA,"Fairbanks, AK",Fairbanks,AK,,,64.8151,-147.856,,,Cargo,Fixed-Wing,,,
Cologne Bonn Airport (CGN),Germany,FedEx,EDDK,"Cologne, Germany",Cologne,Germany,,,50.87239,7.13025,,,Cargo,Fixed-Wing,,,
Orlando International Airport,US,"Frontier, JetBlue, Southwest, Spirit, Silver, National, Flexjet",KMCO,"Orlando, FL",Orlando,FL,,,28.4294,-81.309,,,"Major, Regional, Cargo, Corporate",Fixed-Wing,,,
Richmond International Airport,US,"GoJet, Flexjet",KRIC,"Richmond, VA",Richmond,VA,,,37.5052,-77.3197,,,"Regional, Corporate",Fixed-Wing,,,
St Louis Lambert International Airport,US,"GoJet, Flexjet",KSTL,"St. Louis, MO",Schuermann Heights,MO,,,38.7487,-90.37,,,"Regional, Corporate",Fixed-Wing,,,
Daniel K Inouye International Airport,US,"Hawaiian, Aloha, Empire, Northern",PHNL,"Honolulu, HI",Honolulu,HI,,,21.32062,-157.92423,,,"Legacy, Cargo",Fixed-Wing,,,
Rogue Valley International Medford Airport,US,Horizon,KMFR,"Medford, OR",Medford,OR,,,42.3742,-122.873,,,Regional,Fixed-Wing,,,
Spokane International Airport,US,"Horizon, Empire, Flexjet",KGEG,"Spokane, WA",Spokane,WA,,,47.6199,-117.534,,,"Regional, Cargo, Corporate",Fixed-Wing,,,
Boise Air Terminal/Gowen Field,US,"Horizon, SkyWest, Flexjet",KBOI,"Boise, ID",Boise,ID,,,43.5644,-116.223,,,"Regional, Corporate",Fixed-Wing,,,
Augusta Municipal Airport,US,Infinity Flight,3AU,"Augusta, KS",Augusta,KS,,,37.67164,-97.07786,,,Pilot Training,Fixed Wing,,,
John F Kennedy International Airport,US,"JetBlue, Endeavor, Atlas, Flexjet",KJFK,"New York City, NY",New York City,NY,,,40.6398,-73.7789,,,"Major, Corporate",Fixed-Wing,,,
"Andrews, NC",US,Med-Trans,"Andrews, NC","Andrews, NC",Andrews,NC,,,35.19958,-83.82439,,,EMS,Rotor,,,
"Atmore, AL",US,Med-Trans,"Atmore, AL","Atmore, AL",Atmore,AL,,,31.02379,-87.49387,,,EMS,Rotor,,,
"Beckwourth, CA",US,Med-Trans,"Beckwourth, CA","Beckwourth, CA",Beckwourth,CA,,,39.85165,-120.40644,,,EMS,Rotor,,,
"Blue Ridge, GA",US,Med-Trans,"Blue Ridge, GA","Blue Ridge, GA",Blue Ridge,GA,,,34.86397,-84.32409,,,EMS,Rotor,,,
"Boulder, CO",US,Med-Trans,"Boulder, CO","Boulder, CO",Boulder,CO,,,40.01499,-105.27055,,,EMS,Rotor,,,
"Brownsville, TN",US,Med-Trans,"Brownsville, TN","Brownsville, TN",Brownsville,TN,,,35.59397,-89.26229,,,EMS,Rotor,,,
"Chesterfield, VA",US,Med-Trans,"Chesterfield, VA","Chesterfield, VA",Chesterfield,VA,,,37.386,-77.57851,,,EMS,Rotor,,,
"Christiansburg, VA",US,Med-Trans,"Christiansburg, VA","Christiansburg, VA",Christiansburg,VA,,,37.12985,-80.40894,,,EMS,Rotor,,,
"Dunn, NC",US,Med-Trans,"Dunn, NC","Dunn, NC",Dunn,NC,,,36.46831,-79.82916,,,EMS,Rotor,,,
"Elizabethton, TN",US,Med-Trans,"Elizabethton, TN","Elizabethton, TN",Elizabethton,TN,,,36.34872,-82.21069,,,EMS,Rotor,,,
"Foley, AL",US,Med-Trans,"Foley, AL","Foley, AL",Foley,AL,,,30.40659,-87.6836,,,EMS,Rotor,,,
"Gainesville, FL",US,Med-Trans,"Gainesville, FL","Gainesville, FL",Gainesville,FL,,,29.65194,-82.325,,,EMS,Rotor,,,
"Gardnerville, NV",US,Med-Trans,"Gardnerville, NV","Gardnerville, NV",Gardnerville,NV,,,38.94151,-119.74935,,,EMS,Rotor,,,
"Greeley, CO",US,Med-Trans,"Greeley, CO","Greeley, CO",Greeley,CO,,,40.42331,-104.70913,,,EMS,Rotor,,,
"Hardy, VA",US,Med-Trans,"Hardy, VA","Hardy, VA",Hardy,VA,,,37.23181,-79.81059,,,EMS,Rotor,,,
"Hobbs, NM",US,Med-Trans,"Hobbs, NM","Hobbs, NM",Hobbs,NM,,,32.70261,-103.13604,,,EMS,Rotor,,,
"Jackson, MS",US,Med-Trans,"Jackson, MS","Jackson, MS",Jackson,MS,,,32.29904,-90.18477,,,EMS,Rotor,,,
"Junction City, KS",US,Med-Trans,"Junction City, KS","Junction City, KS",Junction City,KS,,,39.02861,-96.8314,,,EMS,Rotor,,,
Colorado Plains Regional Airport,US,Med-Trans,KAKO,"Akron, CO",Akron,CO,,,40.17523,-103.22118,,,EMS,Rotor,,,
Akron Fulton International Airport,US,Med-Trans,KAKR,"Akron, OH",Akron,OH,,,41.03582,-81.46986,,,EMS,Rotor,,,
Rick Husband Amarillo International Airport,US,Med-Trans,KAMA,"Amarillo, TX",Amarillo,TX,,,35.21779,-101.71693,,,EMS,Rotor,,,
Anderson Regional Airport,US,Med-Trans,KAND,"Anderson, SC",Anderson,SC,,,34.49369,-82.70993,,,EMS,Rotor,,,
Birmingham-Shuttlesworth International Airport,US,"Flexjet, Med-Trans",KBHM,"Birmingham, AL",Birmingham,AL,,,33.56351,-86.75154,,,"Corporate, EMS","Fixed-Wing, Rotor",,,
Brooksville-Tampa Bay Regional Airport,US,Med-Trans,KBKV,"Brooksville, FL",Brooksville,FL,,,28.46674,-82.45677,,,EMS,Rotor,,,
Jack Brooks Regional Airport,US,Med-Trans,KBPT,"Beauxart Gardens, TX",Beauxart Gardens,TX,,,29.95083,-94.02069,,,EMS,Rotor,,,
"Casa Grande, AZ",US,Med-Trans,KCGZ,"Casa Grande, AZ",Casa Grande,AZ,,,32.95392,-111.76711,,,EMS,Rotor,,,
The Eastern Iowa Airport,US,Med-Trans,KCID,"Cedar Rapids, IA",Cedar Rapids,IA,,,41.8851,-91.71471,,,EMS,Rotor,,,
"Chanute, KS",US,Med-Trans,KCNU,"Chanute, KS",Chanute,KS,,,37.66963,-95.4869,,,EMS,Rotor,,,
"Clovis, NM",US,Med-Trans,KCVN,"Clovis, NM",Clovis,NM,,,34.42669,-103.0798,,,EMS,Rotor,,,
Tom B David Field,US,Med-Trans,KCZL,"McDaniels, GA",McDaniels,GA,,,34.45539,-84.93917,,,EMS,Rotor,,,
"Bisbee-Douglas, AZ",US,Med-Trans,KDUG,"Bisbee-Douglas, AZ",Bisbee-Douglas,AZ,,,31.46389,-109.60483,,,EMS,Rotor,,,
Northwest Florida Beaches International Airport,US,Med-Trans,KECP,"Northwest Florida Beaches, FL",Northwest Florida Beaches,FL,,,30.36049,-85.79651,,,EMS,Rotor,,,
"Fallon, NV",US,Med-Trans,KFLX,"Fallon, NV",Fallon,NV,,,39.4994,-118.7494,,,EMS,Rotor,,,
"Fort Stockton, TX",US,Med-Trans,KFST,"Fort Stockton, TX",Fort Stockton,TX,,,30.91626,-102.91011,,,EMS,Rotor,,,
"Mattaponi, VA",US,Med-Trans,KFYJ,"Mattaponi, VA",Mattaponi,VA,,,37.52302,-76.76206,,,EMS,Rotor,,,
"Greeneville, TN",US,Med-Trans,KGCY,"Greeneville, TN",Greeneville,TN,,,36.19177,-82.81682,,,EMS,Rotor,,,
"Glendale, AZ",US,Med-Trans,KGEU,"Glendale, AZ",Glendale,AZ,,,33.52805,-112.29561,,,EMS,Rotor,,,
"Gatlinburg, TX",US,Med-Trans,KGKT,"Gatlinburg, TX",Gatlinburg,TN,,,35.85847,-83.53061,,,EMS,Rotor,,,
Gulfport Biloxi International Airport,US,Med-Trans,KGPT,"Gulfport, MS",Gulfport,MS,,,30.40711,-89.07143,,,EMS,Rotor,,,
Golden Triangle Regional Airport,US,Med-Trans,KGTR,"Billups, MS",Billups,MS,,,33.4502,-88.5904,,,EMS,Rotor,,,
"Valley Hill, MS",US,Med-Trans,KGWO,"Valley Hill, MS",Valley Hill,MS,,,33.49457,-90.08619,,,EMS,Rotor,,,
"East Gantt, SC",US,Med-Trans,KGYH,"East Gantt, SC",East Gantt,SC,,,34.75816,-82.37531,,,EMS,Rotor,,,
"Hattiesburg, MS",US,Med-Trans,KHBG,"Hattiesburg, MS",Hattiesburg,MS,,,31.26333,-89.25177,,,EMS,Rotor,,,
"Hays Regional Airport, 270th Avenue, Hays, Ellis County, Kansas, 67601, United States of America",US,Med-Trans,KHYS,"Hays Regional Airport, 270th Avenue, Hays, Ellis County, Kansas, 67601, United States of America",,KS,,,38.84548,-99.27304,,,EMS,Rotor,,,
Long Island Mac Arthur Airport,US,Med-Trans,KISP,"Ronkonkoma, NY",Ronkonkoma,NY,,,40.79613,-73.10066,,,EMS,Rotor,,,
"Valley Hill, MS",US,Med-Trans,KJAU,"Valley Hill, MS",De Lap,TN,,,36.33651,-84.16214,,,EMS,Rotor,,,
Jonesboro Municipal Airport,US,Med-Trans,KJBR,"East Gantt, SC",Jonesboro,AR,,,35.83159,-90.64804,,,EMS,Rotor,,,
"Hattiesburg, MS",US,Med-Trans,KLCQ,"Hattiesburg, MS",Navair,FL,,,30.1783,-82.57934,,,EMS,Rotor,,,
Crater Lake-Klamath Regional Airport,US,Med-Trans,KLMT,"Hays Regional Airport, 270th Avenue, Hays, Ellis County, Kansas, 67601, United States of America",Altamont,OR,,,42.15644,-121.73278,,,EMS,Rotor,,,
"Marion, SC",US,Med-Trans,KMAO,"Marion, SC",Marion,SC,,,34.18216,-79.3344,,,EMS,Rotor,,,
"Moberly, MO",US,Med-Trans,KMBY,"Moberly, MO",Moberly,MO,,,39.46442,-92.42753,,,EMS,Rotor,,,
Key Field / Meridian Regional Airport,US,Med-Trans,KMEI,"Meridian, MS",Meridian,MS,,,32.32774,-88.75258,,,EMS,Rotor,,,
"McAlester, OK",US,Med-Trans,KMLC,"McAlester, OK",McAlester,OK,,,34.88199,-95.78372,,,EMS,Rotor,,,
"Morristown, TN",US,Med-Trans,KMOR,"Morristown, TN",Morristown,TN,,,36.18092,-83.37295,,,EMS,Rotor,,,
"Ocala, FL",US,Med-Trans,KOCF,"Ocala, FL",Ocala,FL,,,29.1756,-82.22454,,,EMS,Rotor,,,
"Hanover, VA",US,Med-Trans,KOFP,"Hanover, VA",Hanover,VA,,,37.70876,-77.43631,,,EMS,Rotor,,,
"Pecos, TX",US,Med-Trans,KPEQ,"Pecos, TX",Pecos,TX,,,31.38571,-103.51406,,,EMS,Rotor,,,
"Osage, TN",US,Med-Trans,KPHT,"Osage, TN",Osage,TN,,,36.34172,-88.38171,,,EMS,Rotor,,,
"Mesilla Park, TX",US,Med-Trans,KPPA,"Mesilla Park, TX",Mesilla Park,TX,,,35.61222,-100.99476,,,EMS,Rotor,,,
"Plainview, TX",US,Med-Trans,KPVW,"Plainview, TX",Plainview,TX,,,34.16967,-101.71384,,,EMS,Rotor,,,
"Thayer, SC",US,Med-Trans,KRBW,"Thayer, SC",Thayer,SC,,,32.92013,-80.6415,,,EMS,Rotor,,,
"Greeley, CO",US,Med-Trans,KRQ,"Greeley, CO",Greeley,CO,,,40.41477,-104.70983,,,EMS,Rotor,,,
"Tasso, TN",US,Med-Trans,KRZR,"Tasso, TN",Tasso,TN,,,35.21499,-84.79658,,,EMS,Rotor,,,
"Hamptons Crossroads, TN",US,Med-Trans,KSRB,"Hamptons Crossroads, TN",Hamptons Crossroads,TN,,,36.05673,-85.52998,,,EMS,Rotor,,,
"Tahlequah, OK",US,Med-Trans,KTQH,"Tahlequah, OK",Tahlequah,OK,,,35.92787,-95.00468,,,EMS,Rotor,,,
"West University Place, TX",US,Med-Trans,KTRK,"West University Place, TX",West University Place,TX,,,29.72627,-95.42878,,,EMS,Rotor,,,
"Laurinburg, NC",US,Med-Trans,"Laurinburg, NC","Laurinburg, NC",Laurinburg,NC,,,34.77405,-79.46282,,,EMS,Rotor,,,
"Lexington, VA",US,Med-Trans,"Lexington, VA","Lexington, VA",Lexington,VA,,,37.78402,-79.44282,,,EMS,Rotor,,,
"Lovington, NM",US,Med-Trans,"Lovington, NM","Lovington, NM",Lovington,NM,,,32.94401,-103.34855,,,EMS,Rotor,,,
"Marion, VA",US,Med-Trans,"Marion, VA","Marion, VA",Marion,VA,,,36.83484,-81.51484,,,EMS,Rotor,,,
"McComb, MS",US,Med-Trans,"McComb, MS","McComb, MS",McComb,MS,,,31.24379,-90.45315,,,EMS,Rotor,,,
"Memphis, TN",US,Med-Trans,"Memphis, TN","Memphis, TN",Memphis,TN,,,35.14902,-90.05163,,,EMS,Rotor,,,
"Milton, FL",US,Med-Trans,"Milton, FL","Milton, FL",Milton,FL,,,30.63241,-87.03969,,,EMS,Rotor,,,
"Nashville, TN",US,Med-Trans,"Nashville, TN","Nashville, TN",Nashville,TN,,,36.16223,-86.77435,,,EMS,Rotor,,,
"Olathe, KS",US,Med-Trans,"Olathe, KS","Olathe, KS",Olathe,KS,,,38.88439,-94.81611,,,EMS,Rotor,,,
"Oxford, MS",US,Med-Trans,"Oxford, MS","Oxford, MS",Oxford,MS,,,34.36641,-89.51877,,,EMS,Rotor,,,
"Perry, FL",US,Med-Trans,"Perry, FL","Perry, FL",Perry,FL,,,30.11744,-83.58181,,,EMS,Rotor,,,
"Saginaw, MI",US,Med-Trans,"Saginaw, MI","Saginaw, MI",Saginaw,MI,,,43.42004,-83.94904,,,EMS,Rotor,,,
"San Angelo, TX",US,Med-Trans,"San Angelo, TX","San Angelo, TX",San Angelo,TX,,,31.46484,-100.43984,,,EMS,Rotor,,,
"Scottsbluff, NE",US,Med-Trans,"Scottsbluff, NE","Scottsbluff, NE",Scottsbluff,NE,,,41.86663,-103.66717,,,EMS,Rotor,,,
"Selmar, TN",US,Med-Trans,"Selmar, TN","Selmar, TN",Selmar,TN,,,35.1701,-88.5923,,,EMS,Rotor,,,
"Seminole, TX",US,Med-Trans,"Seminole, TX","Seminole, TX",Seminole,TX,,,32.71899,-102.64491,,,EMS,Rotor,,,
Greenville Spartanburg International Airport,US,"Flexjet, Med-Trans",KGSP,"Spartanburg, SC",Spartanburg,SC,,,34.89567,-82.21886,,,"Corporate, EMS","Fixed-Wing, Rotor",,,
"St. Augustine, FL",US,Med-Trans,"St. Augustine, FL","St. Augustine, FL",St. Augustine,FL,,,29.8947,-81.31454,,,EMS,Rotor,,,
